order_id,product,category,return_reason,cost,approved_flag,store_name,date
1076,Mouse,Accessories,Battery Issue,24,Yes,Lakeside Mall,2025-02-06
1077,Charger,Accessories,Missing Accessories,27,No,Sunnyvale Town,2025-02-26
1078,Bluetooth Speaker,Electronics,Not Compatible,80,Yes,SoMa Market,2025-02-06
1079,Keyboard,Accessories,Performance Issues,42,Yes,Lakeside Mall,2025-01-29
1080,Charger,Accessories,Broken Screen,21,Yes,Sunnyvale Town,2025-03-20
1081,Headphones,Electronics,Wrong Item Shipped,116,Yes,Midtown Hub,2025-03-05
1082,Camera,Electronics,Not Compatible,581,Yes,SoMa Market,2025-02-24
1083,Charger,Accessories,Broken Screen,27,No,Brooklyn Center,2025-03-13
1084,Charger,Accessories,Changed Mind,24,No,Greenfield Center,2025-03-13
1085,Mouse,Accessories,Damaged on Arrival,28,No,Harbor Point,2025-03-06
1086,Camera,Electronics,Warranty Claim,639,Yes,Sunnyvale Town,2025-02-27
1087,Tablet,Electronics,Not Compatible,330,No,Greenfield Center,2025-03-04
1088,Charger,Accessories,Battery Issue,24,No,Riverdale Outlet,2025-02-04
1089,Smartwatch,Electronics,Damaged on Arrival,223,Yes,Capitol Plaza,2025-01-20
1090,Charger,Accessories,Missing Accessories,26,Yes,SoMa Market,2025-02-23
1091,Camera,Electronics,Damaged on Arrival,658,No,Brooklyn Center,2025-01-27
1092,Camera,Electronics,Missing Accessories,728,Yes,Harbor Point,2025-02-18
1093,Bluetooth Speaker,Electronics,Defective,90,No,Midtown Hub,2025-02-23
1094,Keyboard,Accessories,Warranty Claim,49,Yes,Sunnyvale Town,2025-01-29
1095,Tablet,Electronics,Missing Accessories,298,No,Bayview Plaza,2025-03-27
1096,Camera,Electronics,Broken Screen,716,Yes,Harbor Point,2025-03-10
1097,Phone Case,Accessories,Missing Accessories,15,Yes,SoMa Market,2025-03-24
1098,Camera,Electronics,Broken Screen,721,Yes,Brooklyn Center,2025-02-03
1099,Camera,Electronics,Damaged on Arrival,593,No,Bayview Plaza,2025-02-18
1100,Tablet,Electronics,Missing Accessories,277,Yes,Sunnyvale Town,2025-01-03








